url,caption
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP6218.jpg,a painting of a man standing in front of a wall
http://data.ukiyo-e.org/honolulu/images/3397.jpg,a building that has a clock on it
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4784.jpg,a painting of a painting of a man and a horse
http://data.ukiyo-e.org/honolulu/images/5324.jpg,a group of people on a beach with a kite
http://data.ukiyo-e.org/honolulu/images/3934.jpg,a painting of a painting of a man standing in front of a painting
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0172/Z0172-420.jpg,a black and white photo of a woman walking with a horse
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-004.jpg,a picture of a building with a snow covered wall
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP3088.jpg,a group of people standing in front of a building
http://data.ukiyo-e.org/honolulu/images/3874.jpg,a painting on a wall with a mural on it
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-237.jpg,a black and white photo of people on a hill
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1676.jpg,a building with a mural on the wall
http://data.ukiyo-e.org/honolulu/images/5255.jpg,a group of people standing next to each other
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0172/Z0172-413.jpg,a black and white photo of a building with a fence
http://data.ukiyo-e.org/honolulu/images/6317.jpg,a group of people walking down a street
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2490.jpg,a painting of a person holding a kite
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000014/w0000533/w0000000/w0000056.jpg,a painting of people standing next to a painting
http://data.ukiyo-e.org/honolulu/images/7973.jpg,a wall with a painting of a clock on it
http://data.ukiyo-e.org/honolulu/images/4004.jpg,a group of people sitting on top of a sandy beach
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000015/w0000480/w0000001/w0000019.jpg,a wall with a painting of a painting on it
http://data.ukiyo-e.org/honolulu/images/3480.jpg,a view of a beach with many chairs and umbrellas
http://data.ukiyo-e.org/honolulu/images/4287.jpg,a group of people standing in front of a painting
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP3489.jpg,a painting of a man sitting in front of a building
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0167/Z0167-013.jpg,a black and white photo of a group of people
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2570.jpg,a picture of a building with a building in the background
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000010/w0000232/w0000000/w0000001.jpg,a painting of a man with a hat on
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-121.jpg,a black and white photo of a person on a hill
http://data.ukiyo-e.org/honolulu/images/4766.jpg,a painting of a painting of a man on a mountain
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2104.jpg,a painting of a person holding a cow
http://data.ukiyo-e.org/honolulu/images/4162.jpg,a painting of a bird on the wall of a painting
http://data.ukiyo-e.org/honolulu/images/5475.jpg,a view of a body of water with boats in it
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000010/w0000186/w0000000/w0000029.jpg,a picture of a painting on the wall
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000014/w0000530/w0000000/w0000001.jpg,a painting on the wall of a building
http://data.ukiyo-e.org/honolulu/images/7252.jpg,a group of people sitting on top of a wall
http://data.ukiyo-e.org/honolulu/images/4432.jpg,a painting of a picture of a man on the beach
https://data.ukiyo-e.org/bm/images/AN00535939_001_l.jpg,a group of people standing in front of a swimming pool
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1165.jpg,a wall with a sign that says <unk>
http://data.ukiyo-e.org/honolulu/images/7415.jpg,a group of people sitting in front of a building
http://data.ukiyo-e.org/honolulu/images/8097.jpg,a group of people standing around a table
http://data.ukiyo-e.org/honolulu/images/5941.jpg,a painting of a man holding a frisbee
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000015/w0000480/w0000002/w0000004.jpg,a wall with graffiti on the wall
